latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.94903,-72.30768,9.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),daylight_duration (s)
2011-08-19,55,1.60,1.60,3.0,49182.73
2011-08-20,51,0.90,0.90,4.0,49033.93
2011-08-21,55,1.30,1.30,2.0,48884.37
2011-08-22,63,6.60,6.60,4.0,48734.17
2011-08-23,3,0.00,0.00,0.0,48583.44
2011-08-24,1,0.00,0.00,0.0,48432.29
2011-08-25,63,5.40,5.40,3.0,48280.82
2011-08-26,63,7.00,7.00,4.0,48129.14
2011-08-27,63,21.00,21.00,13.0,47977.35
2011-08-28,65,56.70,56.70,17.0,47825.56
2011-08-29,2,0.00,0.00,0.0,47673.52
2011-08-30,3,0.00,0.00,0.0,47520.21
2011-08-31,3,0.00,0.00,0.0,47365.69
2011-09-01,3,0.00,0.00,0.0,47210.05
2011-09-02,0,0.00,0.00,0.0,47053.41
2011-09-03,51,0.10,0.10,1.0,46895.87
2011-09-04,3,0.00,0.00,0.0,46737.55
2011-09-05,3,0.00,0.00,0.0,46578.55
2011-09-06,63,26.60,26.60,20.0,46418.96
2011-09-07,55,12.50,12.50,23.0,46258.90
2011-09-08,63,20.50,20.50,15.0,46098.46
2011-09-09,3,0.00,0.00,0.0,45937.75
2011-09-10,2,0.00,0.00,0.0,45776.85
2011-09-11,3,0.00,0.00,0.0,45615.87
2011-09-12,53,1.70,1.70,3.0,45454.91
2011-09-13,0,0.00,0.00,0.0,45294.05
2011-09-14,1,0.00,0.00,0.0,45133.39
2011-09-15,51,1.50,1.50,6.0,44973.02
2011-09-16,3,0.00,0.00,0.0,44813.05
2011-09-17,3,0.00,0.00,0.0,44653.56
2011-09-18,3,0.00,0.00,0.0,44494.30
2011-09-19,3,0.00,0.00,0.0,44334.22
2011-09-20,51,1.50,1.50,5.0,44173.36
2011-09-21,51,0.10,0.10,1.0,44011.80
2011-09-22,53,2.20,2.20,7.0,43849.66
2011-09-23,63,18.70,18.70,14.0,43687.04
2011-09-24,61,4.60,4.60,6.0,43524.03
2011-09-25,53,1.20,1.20,4.0,43360.74
2011-09-26,3,0.00,0.00,0.0,43197.27
2011-09-27,3,0.00,0.00,0.0,43033.73
2011-09-28,53,4.80,4.80,16.0,42870.20
2011-09-29,61,7.10,7.10,13.0,42706.80
2011-09-30,51,0.70,0.70,2.0,42543.61
2011-10-01,63,14.80,14.80,17.0,42380.76
2011-10-02,51,0.90,0.90,4.0,42218.33
2011-10-03,63,12.80,12.80,8.0,42056.43
2011-10-04,53,5.10,5.10,15.0,41895.16
2011-10-05,2,0.00,0.00,0.0,41734.64
2011-10-06,1,0.00,0.00,0.0,41574.95
2011-10-07,0,0.00,0.00,0.0,41416.22
2011-10-08,0,0.00,0.00,0.0,41258.17
2011-10-09,0,0.00,0.00,0.0,41099.67
2011-10-10,3,0.00,0.00,0.0,40940.74
2011-10-11,3,0.00,0.00,0.0,40781.49
2011-10-12,53,1.20,1.20,3.0,40622.04
2011-10-13,51,0.30,0.30,2.0,40462.52
2011-10-14,63,29.60,29.60,20.0,40303.02
2011-10-15,1,0.00,0.00,0.0,40143.68
2011-10-16,3,0.00,0.00,0.0,39984.61
2011-10-17,3,0.00,0.00,0.0,39825.93
2011-10-18,3,0.00,0.00,0.0,39667.77
2011-10-19,63,38.90,38.90,17.0,39510.25
2011-10-20,63,15.20,15.20,6.0,39353.51
2011-10-21,3,0.00,0.00,0.0,39197.66
2011-10-22,3,0.00,0.00,0.0,39042.85
2011-10-23,3,0.00,0.00,0.0,38889.20
2011-10-24,3,0.00,0.00,0.0,38736.85
2011-10-25,53,1.30,1.30,3.0,38585.94
2011-10-26,51,0.20,0.20,1.0,38436.62
2011-10-27,63,20.10,20.10,19.0,38289.03
2011-10-28,51,0.20,0.20,1.0,38142.88
2011-10-29,71,32.20,32.10,14.0,37996.95
2011-10-30,73,5.30,4.50,5.0,37851.27
2011-10-31,3,0.00,0.00,0.0,37705.96
2011-11-01,3,0.00,0.00,0.0,37561.19
2011-11-02,0,0.00,0.00,0.0,37417.07
2011-11-03,3,0.00,0.00,0.0,37273.78
2011-11-04,3,0.00,0.00,0.0,37131.43
2011-11-05,0,0.00,0.00,0.0,36990.21
2011-11-06,0,0.00,0.00,0.0,36850.25
2011-11-07,0,0.00,0.00,0.0,36711.72
2011-11-08,0,0.00,0.00,0.0,36574.77
2011-11-09,1,0.00,0.00,0.0,36439.58
2011-11-10,63,14.10,14.10,12.0,36306.30
2011-11-11,51,0.60,0.60,3.0,36175.12
2011-11-12,2,0.00,0.00,0.0,36046.20
2011-11-13,3,0.00,0.00,0.0,35919.72
2011-11-14,3,0.00,0.00,0.0,35795.86
2011-11-15,51,0.20,0.20,1.0,35674.81
2011-11-16,63,25.90,25.90,16.0,35556.75
2011-11-17,63,11.00,11.00,13.0,35441.45
2011-11-18,3,0.00,0.00,0.0,35327.74
2011-11-19,3,0.00,0.00,0.0,35215.64
2011-11-20,3,0.00,0.00,0.0,35105.30
